Grain isolé n°,Moyenne de B,Moyenne de G,Moyenne de R
Grain isolé n°1,92.58,104.39,113.65
Grain isolé n°2,129.45,142.25,153.49
Grain isolé n°3,92.89,118.98,141.82
Grain isolé n°4,110.53,134.33,148.3
Grain isolé n°5,90.18,110.27,122.55
Grain isolé n°6,92.95,108.84,121.78
Grain isolé n°7,64.87,65.23,67.52
Grain isolé n°8,75.56,86.25,88.15
Grain isolé n°9,125.32,146.16,162.2
Grain isolé n°10,131.49,146.51,157.44
Grain isolé n°11,106.81,129.73,144.58
Grain isolé n°12,61.1,61.97,62.49
Grain isolé n°13,78.45,83.41,86.65
Grain isolé n°14,59.33,68.52,67.64
Grain isolé n°15,73.42,73.55,73.73
Grain isolé n°16,95.76,101.41,106.0
Grain isolé n°17,100.66,136.81,148.22
Grain isolé n°18,63.24,70.06,73.18
Grain isolé n°19,48.45,58.12,66.63
Grain isolé n°20,73.67,81.0,101.48
Grain isolé n°21,140.93,149.51,155.64
Grain isolé n°22,136.89,149.53,158.65
Grain isolé n°23,87.11,88.86,90.77
Grain isolé n°24,56.55,64.04,65.79
Grain isolé n°25,131.95,140.39,161.22
Grain isolé n°26,83.54,95.6,102.46
Grain isolé n°27,78.8,79.73,81.44
Grain isolé n°28,64.46,64.39,67.1
Grain isolé n°29,80.77,85.88,85.85
Grain isolé n°30,84.95,110.25,117.68
Grain isolé n°31,82.2,83.43,85.29
Grain isolé n°32,114.7,121.27,125.23
Grain isolé n°33,108.02,116.17,121.59
Grain isolé n°34,80.86,101.01,119.34
Grain isolé n°35,69.44,71.72,72.67
Grain isolé n°36,72.85,72.97,72.97
Grain isolé n°37,82.96,93.21,96.57
Grain isolé n°38,81.29,80.35,81.07
Grain isolé n°39,101.71,148.64,168.09
Grain isolé n°40,90.59,111.12,111.87
Grain isolé n°41,92.26,98.33,101.71
Grain isolé n°42,93.83,110.17,112.99
Grain isolé n°43,91.59,107.59,119.01
Grain isolé n°44,141.74,156.93,163.88
